,ID,User,Location,Motion,Humidity (%),Temperature (F),Time
1,1470,Team 3,UC San Diego,False,44.0,75.0,2023-08-01 20:03:27
2,1471,Team 3,UC San Diego,False,44.0,75.0,2023-08-01 20:03:32
3,1472,Team 3,UC San Diego,False,46.0,75.0,2023-08-01 20:03:36
4,1473,Team 3,UC San Diego,False,48.0,75.0,2023-08-01 20:03:41
5,1474,Team 3,UC San Diego,False,50.0,75.0,2023-08-01 20:03:46
6,1475,Team 3,UC San Diego,False,52.0,75.0,2023-08-01 20:03:50
7,1476,Team 3,UC San Diego,False,52.0,74.0,2023-08-01 20:03:55
8,1477,Team 3,UC San Diego,False,51.0,74.0,2023-08-01 20:03:59
9,1478,Team 3,UC San Diego,False,51.0,74.0,2023-08-01 20:04:04
10,1479,Team 3,UC San Diego,False,51.0,74.0,2023-08-01 20:04:09
11,1480,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:04:14
12,1481,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:04:19
13,1482,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:04:24
14,1483,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:04:29
15,1484,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:04:33
16,1485,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:04:38
17,1486,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:04:43
18,1487,Team 3,UC San Diego,False,52.0,75.0,2023-08-01 20:04:48
19,1488,Team 3,UC San Diego,False,52.0,75.0,2023-08-01 20:04:53
20,1489,Team 3,UC San Diego,False,52.0,75.0,2023-08-01 20:04:58
21,1490,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:05:02
22,1491,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:05:07
23,1492,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:05:13
24,1493,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:05:17
25,1494,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:05:22
26,1495,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:05:27
27,1496,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:05:32
28,1497,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:05:37
29,1498,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:05:42
30,1499,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:05:46
31,1500,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:05:51
32,1501,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:05:56
33,1502,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:06:01
34,1503,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:06:06
35,1504,Team 3,UC San Diego,False,51.0,75.0,2023-08-01 20:06:11
